[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\db\backends\sqlite3\__init__.py first seen with mtime 1779617781.036288
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django_browser_reload\apps.py first seen with mtime 1779617835.705156
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\utils\module_loading.py first seen with mtime 1779617781.5533001
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Python313\Lib\http\server.py first seen with mtime 1748955274.0
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Python313\Lib\email\header.py first seen with mtime 1748955274.0
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Python313\Lib\email\iterators.py first seen with mtime 1748955274.0
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Python313\DLLs\select.pyd first seen with mtime 1748955338.0
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\utils\html.py first seen with mtime 1779617781.5418546
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Python313\Lib\concurrent\__init__.py first seen with mtime 1748955274.0
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\template\__init__.py first seen with mtime 1779617781.4116292
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\sqlparse\filters\aligned_indent.py first seen with mtime 1779617753.241947
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\db\models\functions\mixins.py first seen with mtime 1779617781.1524382
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\primer3\__init__.py first seen with mtime 1779617753.7818832
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Python313\Lib\nturl2path.py first seen with mtime 1748955274.0
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\contrib\admin\exceptions.py first seen with mtime 1779617773.1905136
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Python313\Lib\multiprocessing\reduction.py first seen with mtime 1748955274.0
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Python313\Lib\glob.py first seen with mtime 1748955274.0
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\Bio\Seq.py first seen with mtime 1779617803.0841813
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django_browser_reload\urls.py first seen with mtime 1779617835.709201
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\contrib\auth\apps.py first seen with mtime 1779617775.6638637
